user_id,user_categories,user_keywords,age,gender,user_click_last3m,user_cart_last3m,user_buy_last3m,user_forward_last3m
U00148,生活;文学,小说;教育;随笔,22,M,15,2,1,0
U00149,生活;文学,小说;随笔;经典,22,F,10,2,1,1
U00150,文学;生活,小说;中国文学;随笔;外国文学,27,F,11,2,0,1
U00151,文学;生活,小说;名著;成长;中国文学,50,M,5,1,0,0
U00152,生活,散文;中国文学,47,M,9,1,0,0
U00153,生活;文学,教育;成长,35,M,9,2,1,1
U00154,文学;生活,中国文学;散文,34,F,11,0,0,0
U00155,生活;文学,随笔;名著,33,F,9,1,0,0
U00156,生活;文学,中国文学;名著;随笔;外国文学,34,M,8,3,1,1
U00157,生活;文学,外国文学;经典;散文;中国文学,60,F,11,2,0,0
U00158,文学;生活,名著;中国文学;经典;教育,16,F,11,3,0,1
U00159,生活;文学,随笔;中国文学;散文,49,F,8,1,0,0
U00160,文学;生活,散文;教育;小说,57,F,9,1,0,1
U00161,生活,中国文学;成长;经典,28,F,10,1,0,0
U00162,文学;生活,经典;教育;名著,35,F,11,0,0,0
U00163,生活;文学,随笔;小说;经典;成长,63,F,7,1,0,0
U00164,生活;文学,小说;散文;经典,27,M,9,0,0,0
U00165,文学,教育;随笔,37,F,12,2,0,0
U00166,生活,名著;经典;外国文学,35,F,15,2,1,1
U00167,生活;文学,外国文学;小说,59,F,4,0,0,0
U00168,生活;文学,中国文学;经典;散文,59,F,10,3,0,0
U00169,文学;生活,名著;经典,43,F,3,1,0,0
U00170,文学;生活,散文;中国文学;经典,17,M,10,0,0,0
U00171,生活;文学,名著;中国文学,46,M,8,1,0,2
U00172,文学;生活,小说;成长;中国文学;散文,56,M,5,1,1,0
U00173,生活;文学,成长;随笔;教育,19,M,9,2,1,1
U00174,生活;文学,中国文学;散文;小说;经典,58,F,8,2,2,1
U00175,生活;文学,教育;中国文学;小说,54,F,6,1,0,0
U00176,生活,教育;外国文学,28,M,9,1,0,0
U00177,文学;生活,随笔;成长;小说,51,F,12,1,0,0
U00178,文学,成长;中国文学,63,M,12,1,0,0
U00179,生活;文学,随笔;成长,56,F,10,0,0,0
U00180,文学,经典;教育;散文;外国文学,36,F,13,4,1,0
U00181,生活;文学,小说;外国文学;中国文学,36,M,16,3,1,0
U00182,文学;生活,随笔;中国文学;名著,33,M,15,4,0,0
U00183,生活;文学,中国文学;教育;外国文学;名著,29,M,11,1,0,0
U00184,文学;生活,名著;随笔;外国文学,15,F,5,2,0,2
U00185,文学;生活,名著;中国文学,15,M,12,3,1,1
U00186,文学;生活,名著;随笔;外国文学,61,M,10,2,1,0
U00187,生活;文学,随笔;经典;中国文学,63,M,9,2,0,0
U00188,文学;生活,教育;中国文学,45,F,15,2,1,1
U00189,生活;文学,中国文学;小说,28,M,12,3,0,0
U00190,文学;生活,外国文学;教育,61,M,8,2,1,1
U00191,生活,随笔;小说;经典;中国文学,57,F,10,4,1,0
U00192,生活,成长;中国文学;名著;小说,31,M,11,1,0,0
U00193,文学;生活,外国文学;经典,55,M,13,0,0,0
U00194,文学;生活,随笔;名著;经典;成长,43,M,7,1,1,1
U00195,生活,外国文学;经典,19,M,7,1,0,1
U00196,文学,外国文学;小说;成长;名著,62,F,7,0,0,0
U00197,文学,散文;中国文学,30,M,9,2,0,0
U00198,生活;文学,名著;经典;外国文学;散文,43,M,6,1,0,0
U00199,文学;生活,小说;教育,62,M,7,1,1,1
U00200,生活;文学,随笔;散文,23,M,3,0,0,0
U00201,文学,散文;小说,54,M,7,1,0,0
U00202,生活,外国文学;随笔;小说,63,M,6,1,0,0
U00203,生活,外国文学;名著;中国文学,62,M,8,2,1,0
U00204,生活,小说;随笔;名著,38,M,7,1,0,0
U00205,文学;生活,散文;经典,24,M,13,1,0,0
U00206,生活;文学,小说;外国文学;中国文学,45,M,6,2,0,0
U00207,生活,随笔;经典;成长,37,M,7,0,0,0
U00208,生活;文学,经典;随笔,54,M,15,1,0,0
U00209,生活,小说;教育,50,F,12,4,2,1
U00210,文学;生活,散文;小说;中国文学,49,M,15,3,1,0
U00211,文学;生活,外国文学;小说,42,M,9,4,2,1
U00212,文学;生活,成长;经典;外国文学;小说,55,M,9,2,0,0
U00213,文学;生活,散文;小说;成长;中国文学,26,F,5,1,1,0
U00214,文学,成长;外国文学;教育;经典,33,M,11,1,1,1
U00215,生活;文学,外国文学;小说,30,M,5,1,0,0
U00216,文学,名著;成长;散文;中国文学,61,F,12,1,0,1
U00217,生活;文学,散文;小说;成长,64,F,8,0,0,0
U00218,生活;文学,小说;名著;随笔;经典,22,M,11,1,1,1
U00219,文学;生活,经典;外国文学;教育;中国文学,26,F,9,0,0,0
U00220,生活;文学,教育;散文;外国文学;经典,23,F,11,1,0,2
U00221,文学;生活,散文;名著,15,M,14,2,0,0
U00222,生活,散文;经典,64,F,7,2,0,0
U00223,文学;生活,名著;经典,47,F,9,2,1,0
U00224,文学;生活,小说;外国文学,39,M,9,3,0,0
U00225,生活;文学,经典;教育;随笔,57,F,14,1,0,0
U00226,生活,随笔;成长;小说;经典,56,M,5,0,0,1
U00227,生活,经典;散文;成长;教育,24,M,7,1,1,1
U00228,文学,中国文学;小说,24,F,5,1,0,0
U00229,生活;文学,散文;经典;成长;名著,36,M,10,1,0,0
U00230,文学,散文;经典;名著,37,F,12,4,1,0
U00231,文学,小说;教育;随笔,29,M,8,1,1,0
U00232,生活;文学,经典;随笔;小说;成长,52,F,5,0,0,0
U00233,文学,外国文学;中国文学;散文;成长,38,M,9,0,0,0
U00234,生活;文学,中国文学;经典,33,F,4,0,0,0
U00235,文学;生活,散文;成长;小说,59,M,5,1,1,1
U00236,生活;文学,散文;教育;经典,54,M,8,1,0,0
U00237,文学,外国文学;小说,57,F,6,0,0,0
U00238,生活;文学,散文;教育;外国文学;小说,50,M,18,0,0,1
U00239,生活;文学,散文;小说;外国文学;教育,27,M,3,0,0,0
U00240,生活;文学,经典;外国文学;随笔;小说,50,F,14,2,1,1
U00241,文学,中国文学;随笔;经典,21,M,9,3,0,1
U00242,生活,散文;随笔;小说,15,M,15,4,2,1
U00243,文学;生活,教育;散文;中国文学;外国文学,50,M,9,1,0,0
U00244,生活,随笔;经典;教育,53,M,12,4,0,0
U00245,文学;生活,名著;外国文学;教育;随笔,39,M,13,2,0,1
U00246,生活;文学,名著;教育;随笔,51,F,5,1,0,0
U00247,文学;生活,中国文学;小说;经典;散文,43,M,12,1,0,1
U00248,生活;文学,经典;散文;小说;随笔,43,M,4,1,0,0
U00249,文学,成长;随笔;名著;散文,48,M,12,5,2,1
U00250,文学,名著;散文;经典;成长,22,M,5,0,0,0
U00251,文学;生活,经典;散文;名著;小说,55,F,7,0,0,0
U00252,生活;文学,散文;名著,57,F,8,1,1,1
U00253,生活,外国文学;随笔,60,M,8,0,0,1
U00254,生活,随笔;经典;中国文学;名著,40,M,14,1,0,0
U00255,文学;生活,名著;随笔,17,F,17,4,1,2
U00256,文学;生活,外国文学;教育,38,M,8,1,0,1
U00257,文学,散文;小说;教育;外国文学,47,M,6,0,0,0
U00258,文学;生活,外国文学;成长,65,M,4,0,0,0
U00259,文学;生活,散文;经典;随笔;名著,61,F,11,1,1,0
U00260,生活;文学,教育;外国文学;成长,31,M,14,5,0,0
U00261,生活;文学,经典;散文;成长,25,F,4,1,0,0
U00262,文学,成长;经典;名著;中国文学,16,F,10,1,0,0
U00263,生活;文学,外国文学;成长,32,F,10,3,0,0
U00264,生活;文学,散文;中国文学;随笔,43,M,9,2,0,0
U00265,生活,外国文学;成长;小说,33,F,3,0,0,0
U00266,生活,成长;名著,63,M,3,0,0,0
U00267,生活,散文;中国文学;小说;名著,22,M,6,0,0,0
U00268,文学;生活,外国文学;经典,45,F,6,1,0,0
U00269,文学;生活,教育;成长;散文;随笔,30,M,6,0,0,1
U00270,文学;生活,散文;随笔;教育;经典,27,F,6,0,0,0
U00271,生活;文学,中国文学;经典;外国文学;教育,64,F,14,1,0,0
U00272,文学;生活,小说;经典,43,M,11,0,0,0
U00273,文学,小说;中国文学,64,F,9,4,1,0
U00274,文学;生活,教育;外国文学,35,M,8,4,1,1
U00275,生活,随笔;教育,36,F,12,2,0,0
U00276,文学;生活,中国文学;散文;外国文学;经典,22,F,10,2,0,0
U00277,生活;文学,随笔;教育;经典,15,M,5,1,0,0
U00278,文学;生活,随笔;成长;外国文学,63,M,12,1,0,0
U00279,文学;生活,随笔;外国文学;教育;成长,58,F,9,1,1,1
U00280,生活;文学,随笔;小说;散文,58,F,7,2,2,1
U00281,生活;文学,成长;中国文学;随笔,53,F,12,2,0,1
U00282,文学,经典;散文;中国文学,25,M,6,2,0,0
U00283,生活;文学,小说;经典;成长;名著,24,F,8,0,0,0
U00284,生活,教育;小说,55,F,11,1,1,0
U00285,生活;文学,教育;成长,37,M,12,2,2,0
U00286,生活;文学,散文;经典,18,M,11,1,1,0
U00287,文学;生活,小说;中国文学;散文;随笔,58,F,10,3,2,2
U00288,文学;生活,经典;外国文学,30,F,9,3,1,0
U00289,生活;文学,教育;成长;随笔,43,M,10,4,0,1
U00290,文学;生活,经典;成长;教育;随笔,24,M,4,1,0,0
U00291,生活,成长;随笔;外国文学;中国文学,24,M,7,1,0,0
U00292,文学;生活,教育;名著,57,M,13,0,0,1
U00293,生活;文学,中国文学;随笔,62,M,14,5,1,0
U00294,文学;生活,散文;名著;中国文学;经典,50,M,8,3,2,1
U00295,文学;生活,中国文学;小说;外国文学,31,F,10,2,1,0
U00296,生活,名著;随笔;成长,44,F,13,0,0,0
U00297,生活;文学,外国文学;中国文学;教育,28,F,6,1,0,0
U00298,文学,经典;成长;随笔;中国文学,63,F,7,0,0,0
U00299,生活;文学,散文;名著;成长;教育,60,F,5,0,0,0
U00300,文学;生活,名著;成长;中国文学;教育,38,M,10,1,0,0
U00301,文学,中国文学;散文,22,M,15,0,0,0
U00302,文学;生活,教育;外国文学;经典,53,F,7,1,0,0
U00303,生活;文学,小说;经典,61,M,10,2,0,0
U00304,生活;文学,随笔;散文,29,M,12,1,0,0
U00305,文学,经典;名著;随笔;小说,64,M,13,3,0,2
U00306,生活,经典;小说;中国文学,55,M,11,3,2,0
U00307,文学;生活,散文;名著;小说,55,M,5,1,0,0
U00308,生活,教育;小说,56,F,14,3,0,0
U00309,生活,中国文学;随笔,21,M,13,2,0,0
U00310,文学,成长;外国文学,37,F,10,1,0,0
U00311,生活;文学,随笔;散文;名著,30,F,7,0,0,0
U00312,生活;文学,散文;名著;经典;中国文学,25,F,11,1,0,1
U00313,文学;生活,教育;名著,30,M,7,1,0,0
U00314,生活;文学,成长;小说;教育;随笔,62,M,5,1,1,0
U00315,生活;文学,随笔;外国文学;名著;小说,58,F,10,2,0,0
U00316,文学;生活,散文;中国文学;外国文学;经典,55,F,8,2,1,0
U00317,文学,教育;中国文学;外国文学;随笔,19,F,9,1,0,0
U00318,文学,随笔;成长,15,F,5,1,0,0
U00319,文学;生活,随笔;成长,43,F,11,0,0,0
U00320,生活;文学,经典;小说,39,F,12,2,0,0
U00321,文学;生活,经典;中国文学;散文;小说,16,M,8,0,0,0
U00322,生活,名著;教育;外国文学;中国文学,37,M,9,0,0,0
U00323,生活;文学,散文;成长;随笔;名著,29,M,11,5,2,1
U00324,生活;文学,名著;随笔;散文,61,M,9,1,0,1
U00325,生活,名著;散文;中国文学,54,F,14,4,0,0
U00326,文学;生活,外国文学;经典;随笔;教育,58,F,12,2,0,0
U00327,文学;生活,中国文学;教育;散文,20,M,11,2,0,1
U00328,文学;生活,随笔;中国文学,29,F,11,1,0,0
U00329,文学;生活,小说;成长;经典;名著,60,F,5,2,0,0
U00330,生活,名著;随笔,38,F,8,2,0,1
U00331,文学;生活,随笔;成长;中国文学;教育,62,F,6,0,0,0
U00332,文学;生活,中国文学;小说;经典;外国文学,36,M,6,1,0,0
U00333,文学,经典;随笔;小说,19,M,10,2,1,1
U00334,生活;文学,散文;随笔,51,M,7,0,0,0
U00335,文学;生活,外国文学;随笔;中国文学,26,M,3,0,0,0
U00336,文学;生活,名著;散文;经典;中国文学,39,F,11,4,1,1
U00337,生活,小说;名著;经典;外国文学,36,F,6,0,0,1
U00338,生活;文学,外国文学;经典,17,F,12,4,2,2
U00339,文学;生活,名著;中国文学;教育,27,F,10,2,0,1
U00340,生活;文学,中国文学;外国文学;经典;散文,57,M,7,2,1,1
U00341,生活;文学,中国文学;教育,33,M,6,0,0,0
U00342,文学;生活,教育;小说;经典,20,F,7,2,1,1
U00343,文学,经典;小说,27,F,11,0,0,0
U00344,生活;文学,名著;中国文学;散文;成长,33,M,5,1,0,0
U00345,文学,散文;随笔;名著,26,M,9,2,1,0
U00346,生活;文学,教育;小说,64,M,13,1,0,0
U00347,生活;文学,随笔;散文;外国文学,33,F,9,0,0,0
U00348,文学;生活,名著;随笔;成长,44,F,5,1,1,0
U00349,文学;生活,散文;小说;名著,20,F,14,3,0,0
U00350,生活;文学,教育;中国文学;经典,38,F,8,1,0,0
U00351,生活;文学,小说;外国文学;中国文学,46,F,9,2,0,0
U00352,生活,小说;成长;随笔;散文,20,F,13,2,1,0
U00353,生活;文学,教育;成长,47,F,7,2,1,2
U00354,生活,小说;外国文学,36,F,12,1,0,0
U00355,文学,教育;中国文学,44,F,12,5,0,1
U00356,生活;文学,教育;散文,27,F,8,2,0,0
U00357,文学;生活,散文;随笔;名著,48,F,16,5,1,0
U00358,文学,名著;小说;中国文学,62,F,8,2,1,0
U00359,文学;生活,散文;经典,36,F,13,2,1,0
U00360,生活;文学,外国文学;散文;随笔,62,F,9,1,0,0
U00361,文学;生活,小说;经典;教育;外国文学,32,F,8,3,0,0
U00362,文学;生活,名著;中国文学;小说,47,M,13,1,0,0
U00363,生活;文学,外国文学;散文;教育,34,F,6,2,0,0
U00364,文学;生活,经典;小说;名著;教育,65,M,10,3,1,0
U00365,生活,小说;经典;散文;成长,30,F,10,2,0,0
U00366,生活,名著;经典,47,F,7,0,0,0
U00367,文学;生活,名著;小说;散文,53,M,11,1,0,0
U00368,生活;文学,小说;经典;外国文学,26,F,7,1,0,0
U00369,生活;文学,教育;名著,43,M,6,1,0,1
U00370,生活,教育;随笔;小说,18,F,5,1,1,0
U00371,生活;文学,成长;中国文学;教育,56,M,16,2,0,1
U00372,文学,随笔;成长;中国文学,46,F,11,1,0,0
U00373,文学,名著;外国文学;散文;中国文学,44,M,17,2,1,1
U00374,文学;生活,小说;中国文学;散文;成长,22,M,8,0,0,0
U00375,文学,散文;外国文学;教育,26,M,15,2,0,0
U00376,文学;生活,成长;名著;中国文学,32,F,12,1,1,0
U00377,文学;生活,小说;经典;随笔;中国文学,54,M,11,2,1,1
U00378,文学,教育;名著;随笔,54,M,16,3,0,1
U00379,文学;生活,成长;中国文学,32,F,10,3,1,0
U00380,生活,名著;中国文学;成长;散文,45,F,10,1,0,1
U00381,生活;文学,小说;成长;随笔;经典,16,M,7,0,0,0
U00382,文学;生活,教育;外国文学;经典,39,M,9,2,1,0
U00383,文学,中国文学;名著;小说,32,F,9,2,1,2
U00384,文学;生活,外国文学;散文;经典,15,F,5,0,0,0
U00385,文学,外国文学;教育,26,F,9,1,0,0
U00386,文学;生活,经典;中国文学;散文;成长,59,M,10,0,0,0
U00387,生活,成长;散文,19,M,6,0,0,0
U00388,生活,散文;名著;外国文学;教育,34,M,9,1,0,0
U00389,文学,外国文学;随笔;小说,63,F,8,1,0,0
U00390,文学,外国文学;随笔;小说,37,M,2,0,0,0
U00391,生活;文学,中国文学;小说;散文,61,M,8,0,0,0
U00392,文学;生活,随笔;散文;小说,32,M,17,6,1,0
U00393,文学,中国文学;经典;外国文学;随笔,44,F,15,1,0,0
U00394,文学,散文;小说;名著,22,M,9,1,0,1
U00395,文学,中国文学;成长;教育,49,F,7,1,1,0
U00396,生活;文学,随笔;小说;经典,46,F,15,4,0,0
U00397,生活,散文;小说;名著,35,F,7,0,0,0
U00398,生活,名著;中国文学,63,F,10,1,0,0
U00399,文学,散文;经典;外国文学,24,M,7,1,0,0
U00400,文学;生活,小说;外国文学;随笔;散文,53,M,15,5,0,0
U00401,文学;生活,外国文学;散文;经典;名著,45,F,14,1,1,1
U00402,文学;生活,成长;教育,58,M,14,3,1,1
U00403,文学;生活,中国文学;随笔,52,M,10,2,1,1
U00404,文学,小说;随笔;中国文学,52,M,8,2,1,0
U00405,生活;文学,外国文学;成长;散文;教育,20,F,10,1,0,0
U00406,文学,小说;中国文学;教育,23,F,11,1,0,0
U00407,文学,教育;成长;散文;小说,65,F,12,4,1,1
U00408,生活,随笔;经典;中国文学,59,M,4,1,0,0
U00409,文学;生活,散文;小说;外国文学;教育,57,M,8,1,0,0
U00410,生活;文学,名著;教育;随笔;小说,55,F,11,2,0,0
U00411,文学;生活,教育;中国文学;随笔,18,F,8,1,0,0
U00412,文学;生活,散文;随笔;外国文学,49,F,17,4,1,0
U00413,文学,经典;名著,17,F,8,2,0,0
U00414,生活,中国文学;教育,62,M,9,1,0,0
U00415,文学;生活,名著;小说;成长;散文,16,M,7,1,0,0
U00416,文学;生活,教育;中国文学;名著,46,F,12,1,0,0
U00417,文学;生活,经典;外国文学;散文;中国文学,31,F,6,1,0,0
U00418,文学;生活,教育;随笔;散文;成长,44,F,10,2,1,0
U00419,生活,散文;小说;教育;名著,19,F,14,2,0,0
U00420,生活;文学,随笔;中国文学;外国文学,65,F,10,3,1,1
U00421,生活;文学,名著;随笔,46,M,6,3,0,0
U00422,文学;生活,名著;随笔;经典;中国文学,26,M,7,1,0,0
U00423,生活,成长;外国文学;散文;教育,45,F,8,1,1,0
U00424,文学;生活,教育;经典;中国文学,52,F,7,0,0,0
U00425,文学;生活,成长;小说;名著;随笔,50,M,14,1,0,1
U00426,文学;生活,小说;名著;散文,65,F,9,2,1,0
U00427,文学;生活,小说;外国文学;教育;散文,61,M,4,2,0,0
U00428,文学;生活,经典;教育;散文;外国文学,65,M,13,2,0,0
U00429,生活,小说;教育,46,M,5,0,0,1
U00430,文学;生活,成长;随笔,22,F,11,2,0,1
U00431,生活;文学,小说;经典;教育,25,M,11,2,1,0
U00432,生活;文学,成长;名著;经典;随笔,42,F,11,3,0,1
U00433,文学,经典;教育;中国文学,54,F,17,4,0,0
U00434,生活;文学,名著;成长,32,M,7,1,0,0
