item_id,name,author,create_time,item_categories,item_keywords,city,price,image,description,item_click_last3m,item_cart_last3m,item_buy_last3m,item_forward_last3m,,,,,,
I0022,A Pocket Full of Rye,Agatha Christie,2025/6/23 17:13,文学,名著,武汉,6.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/22.jpg,童谣索命，完美谋杀，看神探波洛智破死亡预言,18,5,1,1,,,,,,
I0023,ABC谋杀案,[英] 阿加莎·克里斯蒂,2025/6/5 17:13,文学,外国文学;经典,南京,12.84,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/23.jpg,侦探女王钟爱的经典奇案，列车终曲演绎人性终极密室,13,1,0,0,,,,,,
I0024,ABC谋杀案: 阿加莎·克里斯蒂作品08,(英)阿加莎·克里斯蒂,2025/5/16 17:13,文学,小说;外国文学;经典,上海,84.28,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/24.jpg,波洛对决字母杀手，破解连环命案终极谜题,42,9,1,3,,,,,,
I0026,AI时代，家长如何教，孩子如何学,和渊,2025/5/12 17:13,生活,成长;教育,杭州,69.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/26.jpg,AI赋能中小学教育，全面提升学习效率与学科能力,33,6,3,2,,,,,,
I0027,Agent设计模式: 图解可复用智能体架构,黄佳,2025/9/19 17:13,文学,经典,杭州,99.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/27.jpg,连接传统工程与智能体，构建AI时代的可靠架构,8,2,0,1,,,,,,
I0028,Animal Farm,George Orwell,2025/5/15 17:13,文学,经典,武汉,9.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/28.jpg,奥威尔经典寓言，警醒权力如何腐蚀理想，直击极权本质,13,0,0,1,,,,,,
I0029,Blue,[日] 叶真中显,2025/5/21 17:13,文学,小说,南京,16.7,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/29.jpg,平成时代三十年，一个名为Blue的普通人，如何活成了日本,10,1,1,1,,,,,,
I0030,C++程序设计语言（第4版）（上、下册）,[丹]比亚内·斯特劳斯特鲁普（Bjarne Stroustrup）,2025/7/24 17:13,文学,经典,北京,34.26,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/30.jpg,C++11权威指南，助你掌握现代C++核心特性与高效编程,16,3,1,0,,,,,,
I0033,Die with Zero: Getting All You Can from Your Money and Your Life,Bill Perkins、比尔·帕金斯,2025/12/5 17:13,生活,成长,深圳,96.48,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/33.jpg,循规蹈矩过一生？这本书教你夺回人生的选择权,24,4,0,1,,,,,,
I0034,Essentials of Investments (12/e),Zvi Bodie、Alex Kane、Alan Marcus,2025/7/26 17:13,文学,经典,深圳,90,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/34.jpg,这本本科生教材紧跟金融市场演变，助你掌握核心金融原理,6,3,1,1,,,,,,
I0035,GOTH断掌事件,[日] 乙一,2025/11/10 17:13,文学,经典,北京,89.05,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/35.jpg,黑乙一巅峰作，绝版十年重现，颠覆你对人性与恶的想象,8,1,0,1,,,,,,
I0037,Harry Potter and the Philosopher's Stone,[英] J·K·罗琳,2025/3/25 17:13,文学,外国文学,西安,12.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/37.jpg,开启魔法世界的大门，与哈利·波特一同面对命运,11,2,0,0,,,,,,
I0038,Heated Rivalry: Game Changers #2,Rachel Reid、[加拿大] 瑞秋·里德,2025/10/23 17:13,文学,小说,北京,34.96,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/38.jpg,冰球巨星与宿敌的禁忌之恋，赛场荣耀与私人欲望的致命交锋,11,3,1,0,,,,,,
I0040,Holes,"Sachar, Louis、路易斯·萨查尔",2025/5/29 17:13,文学,外国文学,北京,6.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/40.jpg,被诅咒的少年挖开过去，在沙漠中寻宝改写家族命运,14,3,1,1,,,,,,
I0041,How To Live An Extraordinary Life,Anthony Pompliano,2025/8/1 17:13,文学,随笔,武汉,19.17,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/41.jpg,写给孩子的六十五封信，照亮他们未来的人生路,19,1,0,1,,,,,,
I0042,How the Grinch Stole Christmas!,Dr. Seuss,2025/7/11 17:13,文学,经典,北京,22,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/42.jpg,用色彩点亮孩子的奇幻假日想象,21,1,0,0,,,,,,
I0044,H庄园的午餐: 阿加莎·克里斯蒂作品69,[英] 阿加莎·克里斯蒂,2025/5/20 17:13,文学,经典,郑州,51.35,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/44.jpg,年轻女子被控谋杀，唯大侦探波洛能揭开庄园深处的爱恨秘辛,18,2,1,1,,,,,,
I0045,IV诗云: 100：科幻之书,刘慈欣、韩松、[美] 特德·姜、威廉·泰恩,2025/4/25 17:13,文学,中国文学,义乌,65.16,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/45.jpg,科幻大师联手，精选百年奇文，颠覆你对未来的想象边界,13,0,0,0,,,,,,
I0046,Living Untethered: Beyond the Human Predicament,Michael A. Singer、迈克?A. 辛格,2025/5/26 17:13,生活,成长,广州,14.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/46.jpg,纽约时报畅销书，助你摆脱拖延，立刻行动,14,4,1,1,,,,,,
I0047,Lonely Planet孤独星球:澳大利亚(2016年版): 澳大利亚,澳大利亚LonelyPlanet公司,2025/10/18 17:13,生活,成长,深圳,148,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/47.jpg,一本图文并茂的澳洲旅行宝典，从行程规划到实地探秘全程指引,12,3,0,1,,,,,,
I0049,My Husband's Wife: A Novel,Alice Feeney,2025/11/12 17:13,文学,小说,郑州,72.66,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/49.jpg,悬疑女王再临，颠覆你认知的心理迷宫,13,4,1,1,,,,,,
I0050,Notes to John,Joan Didion、[美国] 琼·狄迪恩,2025/9/15 17:13,文学,外国文学,深圳,32,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/50.jpg,以冷静笔触剖析丧亲之痛，抵达人类共通的哀伤核心,16,3,0,0,,,,,,
I0051,Playworld: A Novel,Adam Ross,2025/10/26 17:13,生活,成长,上海,29,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/51.jpg,一部惊艳开年之作，点燃你对2025年的全部希望,23,2,0,0,,,,,,
I0052,Pride and Prejudice,Jane Austen,2025/8/24 17:13,文学,经典,义乌,5.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/52.jpg,跨越偏见与傲慢，追寻真爱与自我的永恒经典,12,3,0,0,,,,,,
I0053,Pygmalion and Major Barbara,George Bernard Shaw,2025/5/30 17:13,文学,经典,郑州,9.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/53.jpg,萧伯纳的智慧箴言，点亮思想与生活的艺术,12,3,0,0,,,,,,
I0055,Staff Engineer: Leadership beyond the management track,Will Larson,2025/7/30 17:13,生活,成长,南京,25,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/55.jpg,从技术专家到团队领袖，实现职场关键跨越,22,8,1,1,,,,,,
I0056,Stolen Focus: Why You Can’t Pay Attention — And How to Think Deeply Again,Johann Hari,2025/6/27 17:13,生活,成长,北京,44.14,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/56.jpg,专注力稀缺时代，让青少年赢回自己的时间与未来,19,5,2,1,,,,,,
I0057,TSUBASA翼(28): 朝下一個世界邁進！,CLAMP、[日本] 大川七濑,2025/6/27 17:13,文学,经典,义乌,27.57,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/57.jpg,打破无尽轮回，选择新生以终结命运,15,1,0,0,,,,,,
I0058,TV動畫 鏈鋸人 公式初始導讀 STARTER ROPE,藤本樹,2025/12/4 17:13,生活,成长,成都,25.79,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/58.jpg,藤本树暗黑英雄传奇，MAPPA献上冲击视觉盛宴,28,6,2,1,,,,,,
I0059,The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,Avinash K. Dixit、Barry J. Nalebuff,2025/6/13 17:13,生活,成长,广州,19.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/59.jpg,博弈论大师新作，助你在复杂决策中智胜一筹,21,3,1,0,,,,,,
I0060,The Case against Education: Why the Education System Is a Waste of Time and Money,Bryan Caplan,2025/6/21 17:13,生活,教育,义乌,29.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/60.jpg,颠覆传统教育迷思，重塑学习与成功的价值认知,29,8,1,1,,,,,,
I0061,The Consolations of Philosophy,Alain De Botton,2025/4/4 17:13,文学,随笔,北京,16.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/61.jpg,跟随顶尖思想者，掌握高效学习与深度思考的终极法则,7,0,0,0,,,,,,
I0062,The Cuckoo's Calling,Robert Galbraith,2025/7/15 17:13,文学,外国文学,成都,16.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/62.jpg,雪夜坠楼疑案，揭露伦敦上流社会光鲜背后的谎言与谋杀,14,2,0,0,,,,,,
I0063,The Fire Next Time,James Baldwin、[美] 詹姆斯·鲍德温,2025/5/13 17:13,文学,散文,上海,10.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/63.jpg,《下一次将是烈火》直面美国种族伤痛，以雄辩之音呼唤良知与,16,0,0,0,,,,,,
I0064,The Housemaid,Freida McFadden,2025/4/13 17:13,文学,小说,成都,9.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/64.jpg,豪门盛宴下的血色秘密，揭开完美家族的惊人真相,16,1,0,0,,,,,,
I0065,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,2025/10/25 17:13,生活,成长,北京,29.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/65.jpg,纽约时报畅销作家，以百万销量改变你的人生轨迹,14,2,0,0,,,,,,
I0066,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest、布里安娜·威斯特,2025/11/12 17:13,生活,成长,成都,17.99,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/66.jpg,停止自我破坏，重获人生掌控,19,1,0,0,,,,,,
I0067,The Pearl,John Steinbeck,2025/12/22 17:13,文学,经典,上海,11,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/67.jpg,从拾获稀世珍珠到直面人性贪婪，揭示财富背后的命运寓言,13,2,0,0,,,,,,
I0068,"The Story of the Stone, Volume I: The Golden Days",Cao Xueqin、O Kao,2025/5/26 17:13,文学,中国文学,北京,36.7,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/68.jpg,一部中国文学巅峰之作，道尽世情悲欢与人生宿命,9,1,0,0,,,,,,
I0070,Unbalanced: Memoir of an Immigrant Math Teacher,Yellow Heights,2025/5/2 17:13,生活,教育,南京,61.17,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/70.jpg,从数学到气候科学，用编程思维高效解决复杂问题,19,2,0,1,,,,,,
I0071,Walden,Henry David Thoreau,2025/5/26 17:13,文学,随笔,杭州,11.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/71.jpg,在自然简朴中，探寻生活的真谛与灵魂的自由,10,1,0,0,,,,,,
I0072,Where the Bluebird Sings to the Lemonade Springs: Living and Writing in the West,Wallace Stegner,2025/4/6 17:13,文学,随笔,深圳,13.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/72.jpg,一部入围国家书评奖的杰作，聆听蓝鸟歌唱，探寻失落美国梦的,5,0,0,1,,,,,,
I0073,Y的悲剧,[美] 埃勒里·奎因,2025/8/4 17:13,文学,小说,成都,13.11,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/73.jpg,恶名昭著的哈特太太离奇身亡，唯一继承人竟成破解谜案的关键,11,3,0,0,,,,,,
I0074,ZOO,[日] 乙一,2025/8/26 17:13,文学,小说,深圳,15.86,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/74.jpg,女友死亡照片每日送达，我在动物园追寻腐化真相,9,0,0,1,,,,,,
I0075,"?uvres complètes I, II: Coffret deux volumes",Pierre de Ronsard、édition de Daniel Ménager et Michel Simonin,2025/4/20 17:13,文学,经典,成都,157,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/75.jpg,从哲学到音乐，跨越学科藩篱，探寻人类共通的情感与智慧之源,17,4,1,1,,,,,,
I0076,“上流”儿童,吴晓乐 人天兀鲁思 出品,2025/8/12 17:13,生活,教育,南京,49.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/76.jpg,虚荣与误解的旋涡中，看透中国式家庭教育的困局与突围,25,3,0,0,,,,,,
I0077,“后理论”背景下的当代西方文论热点研究,陈后亮,2025/12/16 17:13,文学,中国文学,北京,86,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/77.jpg,在后理论时代，探寻西方文论的思想坐标与前沿动态,12,3,0,0,,,,,,
I0078,“妄想”的产物,[日] 今 敏,2025/5/9 17:13,文学,随笔,广州,13.44,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/78.jpg,动画大师今敏的创作原点，揭秘天才如何将现实炼成不朽梦境,10,1,1,1,,,,,,
I0079,“我们赞成差别对待”: 变成怪物的年轻一代,[韩]吴赞镐,2025/9/26 17:13,生活,教育,上海,51.48,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/79.jpg,直击韩国社会内卷真相，剖析青年时代病与突围之路,32,3,1,1,,,,,,
I0080,“文学爆炸”那些年: 加西亚·马尔克斯、巴尔加斯·略萨和那群改变世界的朋友,[西] 哈维·阿延,2025/7/11 17:13,文学,外国文学,南京,24.34,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/80.jpg,穿越拉美文学爆炸现场，亲历大师们的激情、友谊与纷争,18,2,0,1,,,,,,
I0081,“断头台城”杀人事件,[日] 北山猛邦,2025/11/9 17:13,文学,小说,杭州,33.75,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/81.jpg,北山猛邦以物理诡计破解古老诅咒，上演密室连环斩首奇案,15,3,2,2,,,,,,
I0082,“杠”出美丽新世界: 哲学与社会正义的对话,(英) 阿里亚娜·沙维希,2025/8/29 17:13,文学,随笔,杭州,18.97,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/82.jpg,以哲学智慧重塑逻辑，助你在思想交锋中优雅制胜,10,0,0,0,,,,,,
I0083,“读书的料”及其文化生产: 当代农家子弟成长叙事研究,程猛,2025/6/6 17:13,生活,教育,成都,89,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/83.jpg,农家子弟逆袭背后的文化密码与心灵史诗,25,4,1,0,,,,,,
I0084,“隐形”的孩子: 关于“校园霸凌”的社会观察,李燕燕,2025/3/26 17:13,生活,成长;教育,郑州,52,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/84.jpg,守护孩子，从识别到应对，终结校园霸凌的家长必读指南,34,5,3,2,,,,,,
I0085,《〈史记〉的人物世界》,林聪舜,2025/9/22 17:13,文学,中国文学,西安,58,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/85.jpg,以史为鉴，塑造中国人的精神世界与文化性格,13,2,0,0,,,,,,
I0086,《世界很好，你也不差》: 2026读者×考拉岛联名成长治愈日历,读者杂志社,2025/8/20 17:13,文学,经典,成都,79,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/86.jpg,读者四十年文字温度，温柔治愈你的日常,12,3,0,1,,,,,,
I0089,《古文观止》化读,王鼎均,2025/6/25 17:13,文学,中国文学,南京,35,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/89.jpg,读懂古文精髓，领略千年思想智慧,14,3,0,0,,,,,,
I0091,《山海经》的世界: 妖怪、万物与星空,刘宗迪,2025/8/5 17:13,文学,中国文学,深圳,66,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/91.jpg,拨开神话迷雾，还原上古中国地理博物志,18,0,0,1,,,,,,
I0092,《怪奇物语》与心理学: 颠倒的生活,[美]特拉维斯·兰利,2025/11/9 17:13,生活,成长,北京,67.95,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/92.jpg,在悲伤与孤独中寻找希望，用团结与智慧对抗逆境,6,3,0,0,,,,,,
I0093,《红楼梦》、《西游记》与其他,余国藩、李奭學編譯,2025/5/8 17:13,文学,随笔,南京,94.12,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/93.jpg,西方视角重释经典，洞见中西思想交融,14,3,0,0,,,,,,
I0094,《美女与野兽》电影日记,（法）让·科克托,2025/4/4 17:13,文学,随笔,广州,78.14,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/94.jpg,电影史上经典之作的永恒诗意与幕后灵魂,12,1,0,1,,,,,,
I0095,《西游记》大阅读8: 上灵山，取真经,李天飞,2025/9/18 17:13,文学,名著,武汉,34.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/95.jpg,李天飞精讲《西游记》，让孩子爱上经典,17,3,0,1,,,,,,
I0096,あれこれ好奇心,星新一,2025/10/21 17:13,文学,随笔,上海,27.65,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/96.jpg,休笔后视野大开，颠覆常识的惊奇短篇集,11,3,1,0,,,,,,
I0097,ババヤガの夜,王谷晶,2025/10/29 17:13,文学,小说,上海,60.08,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/97.jpg,暴力团千金护卫的极致暴力美学,10,1,1,1,,,,,,
I0098,一个人好好生活,[日] 小川糸,2025/3/23 17:13,文学,随笔,杭州,65.57,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/98.jpg,在镰仓的四季流转中，寻回生活的温柔与笃定,5,1,0,0,,,,,,
I0099,一个人的朝圣,[英] 蕾秋·乔伊斯,2025/4/29 17:13,文学,小说,深圳,78.25,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/99.jpg,让一个简单故事触动你最深处的柔软,8,1,1,0,,,,,,
I0100,一个人的村庄: 刘亮程自选集 ·散文,刘亮程,2025/12/18 17:13,文学,随笔,郑州,42.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/100.jpg,在黄沙梁的慢时光里，找回被弄丢的自己,16,4,0,1,,,,,,
